Layer,Block,d,Method,kurtosis,KL,JS,W1,M_over_mu
vit.encoder.layer.0.output.dense,0,3072,None (pre-rotation),138.267,0.9883,0.2234,0.4629,159.05
vit.encoder.layer.0.output.dense,0,3072,QR,1.4084,0.0163,0.003,0.062,16.3569
vit.encoder.layer.0.output.dense,0,3072,Hadamard_block128,2.7568,0.045,0.0085,0.1134,19.3948
vit.encoder.layer.0.output.dense,0,3072,Hadamard_truncated,15.5278,0.0323,0.0055,0.0971,30.8179
vit.encoder.layer.1.output.dense,1,3072,None (pre-rotation),45.4485,0.9909,0.2123,0.4038,51.4394
vit.encoder.layer.1.output.dense,1,3072,QR,0.3513,0.0019,0.0004,0.0206,9.0073
vit.encoder.layer.1.output.dense,1,3072,Hadamard_block128,1.4958,0.0196,0.0032,0.0629,10.501
vit.encoder.layer.1.output.dense,1,3072,Hadamard_truncated,22.921,0.0149,0.0016,0.0603,33.7531
vit.encoder.layer.2.output.dense,2,3072,None (pre-rotation),44.282,0.9176,0.2077,0.4329,46.686
vit.encoder.layer.2.output.dense,2,3072,QR,0.2092,0.0008,0.0002,0.0118,7.8892
vit.encoder.layer.2.output.dense,2,3072,Hadamard_block128,1.1946,0.0152,0.0026,0.0543,10.0452
vit.encoder.layer.2.output.dense,2,3072,Hadamard_truncated,18.7258,0.0125,0.0011,0.0515,28.8459
vit.encoder.layer.3.output.dense,3,3072,None (pre-rotation),62.8054,0.975,0.2213,0.4507,80.3829
vit.encoder.layer.3.output.dense,3,3072,QR,0.3837,0.002,0.0004,0.0162,11.3042
vit.encoder.layer.3.output.dense,3,3072,Hadamard_block128,1.08,0.0131,0.0025,0.0523,10.4791
vit.encoder.layer.3.output.dense,3,3072,Hadamard_truncated,11.3363,0.0116,0.0011,0.0448,26.3773
vit.encoder.layer.4.output.dense,4,3072,None (pre-rotation),511.4189,1.0811,0.2495,0.4892,224.9711
vit.encoder.layer.4.output.dense,4,3072,QR,5.4945,0.0409,0.0042,0.0842,21.494
vit.encoder.layer.4.output.dense,4,3072,Hadamard_block128,8.3773,0.0549,0.0063,0.1082,22.8731
vit.encoder.layer.4.output.dense,4,3072,Hadamard_truncated,10.091,0.0518,0.0056,0.1058,42.857
vit.encoder.layer.5.output.dense,5,3072,None (pre-rotation),4875.6804,1.3599,0.3161,0.567,396.0756
vit.encoder.layer.5.output.dense,5,3072,QR,26.9777,0.2802,0.0466,0.3045,32.4664
vit.encoder.layer.5.output.dense,5,3072,Hadamard_block128,37.675,0.3295,0.051,0.3402,25.1869
vit.encoder.layer.5.output.dense,5,3072,Hadamard_truncated,24.522,0.2942,0.0488,0.3088,38.0902
vit.encoder.layer.6.output.dense,6,3072,None (pre-rotation),7509.0178,1.4372,0.33,0.5826,507.8679
vit.encoder.layer.6.output.dense,6,3072,QR,21.1601,0.2677,0.0438,0.2949,22.6322
vit.encoder.layer.6.output.dense,6,3072,Hadamard_block128,61.0363,0.3167,0.0546,0.3515,29.7762
vit.encoder.layer.6.output.dense,6,3072,Hadamard_truncated,16.9063,0.283,0.0456,0.2997,21.08
vit.encoder.layer.7.output.dense,7,3072,None (pre-rotation),70.9345,1.3756,0.2919,0.5391,74.617
vit.encoder.layer.7.output.dense,7,3072,QR,0.4325,0.0028,0.0006,0.0257,10.7126
vit.encoder.layer.7.output.dense,7,3072,Hadamard_block128,1.3474,0.0171,0.0032,0.0656,11.3328
vit.encoder.layer.7.output.dense,7,3072,Hadamard_truncated,8.703,0.0055,0.0008,0.0315,33.7143
vit.encoder.layer.8.output.dense,8,3072,None (pre-rotation),101.1133,1.932,0.3484,0.6022,124.5561
vit.encoder.layer.8.output.dense,8,3072,QR,0.4639,0.0034,0.0008,0.0267,8.7435
vit.encoder.layer.8.output.dense,8,3072,Hadamard_block128,1.3874,0.0204,0.0041,0.0754,12.3101
vit.encoder.layer.8.output.dense,8,3072,Hadamard_truncated,5.4018,0.0046,0.0008,0.034,30.2938
vit.encoder.layer.9.output.dense,9,3072,None (pre-rotation),434.9543,3.29,0.4857,0.7535,520.35
vit.encoder.layer.9.output.dense,9,3072,QR,0.7214,0.0065,0.0013,0.0391,10.827
vit.encoder.layer.9.output.dense,9,3072,Hadamard_block128,3.4781,0.0731,0.0138,0.147,14.3294
vit.encoder.layer.9.output.dense,9,3072,Hadamard_truncated,0.7295,0.0046,0.0008,0.0319,18.284
vit.encoder.layer.10.output.dense,10,3072,None (pre-rotation),373.1498,4.0178,0.5729,0.7989,537.8997
vit.encoder.layer.10.output.dense,10,3072,QR,1.215,0.0146,0.0028,0.0607,10.3546
vit.encoder.layer.10.output.dense,10,3072,Hadamard_block128,4.1521,0.0867,0.0158,0.1538,15.0187
vit.encoder.layer.10.output.dense,10,3072,Hadamard_truncated,2.4959,0.0133,0.0022,0.0569,25.8942
vit.encoder.layer.11.output.dense,11,3072,None (pre-rotation),154.5972,3.499,0.5058,0.7698,237.5327
vit.encoder.layer.11.output.dense,11,3072,QR,0.4649,0.0038,0.0009,0.0334,7.9818
vit.encoder.layer.11.output.dense,11,3072,Hadamard_block128,1.7532,0.0356,0.0073,0.0971,10.2288
vit.encoder.layer.11.output.dense,11,3072,Hadamard_truncated,1.1804,0.0057,0.0007,0.0305,17.401
