Config,Resolution,Patch,Seq_Len,Bit_Config,FP32,Std_PTQ,RoViT,Boost
ViT-B/16 @160,160,16,101,W6A6,76.52,52.7,72.84,20.14
ViT-B/16 @160,160,16,101,W4A4,76.52,0.16,0.3,0.14
ViT-B/16 @224,224,16,197,W6A6,80.99,54.36,78.76,24.39
ViT-B/16 @224,224,16,197,W4A4,80.99,0.14,0.3,0.16
ViT-B/16 @288,288,16,325,W6A6,81.27,53.4,78.86,25.47
ViT-B/16 @288,288,16,325,W4A4,81.27,0.13,0.22,0.09
ViT-B/16 @384,384,16,577,W6A6,79.56,44.0,77.04,33.04
ViT-B/16 @384,384,16,577,W4A4,79.56,0.12,0.2,0.09
ViT-B/32 @224,224,32,50,W6A6,72.12,24.07,67.21,43.13
ViT-B/32 @224,224,32,50,W4A4,72.12,0.14,0.41,0.27
