layer,d_in,kappa_pre,kappa_post,kappa_post_std
vit.encoder.layer.0.intermediate.dense,768,24.81507712322195,6.113886189460755,0.3086052742347318
vit.encoder.layer.0.output.dense,3072,86.36657977089958,11.210117053985595,0.5210333774094199
vit.encoder.layer.1.intermediate.dense,768,45.13560821642185,7.158117508888244,0.7215804675355837
vit.encoder.layer.1.output.dense,3072,31.01252269701173,7.4876282691955565,0.4332630478634113
vit.encoder.layer.2.intermediate.dense,768,41.63052821588755,6.712474513053894,0.6708282835433516
vit.encoder.layer.2.output.dense,3072,28.647903820646786,6.581860780715942,0.24762522999727687
vit.encoder.layer.3.intermediate.dense,768,33.02582287661644,5.727687549591065,0.4688433623618846
vit.encoder.layer.3.output.dense,3072,46.48193928803925,9.614443492889404,0.6653815181907391
vit.encoder.layer.4.intermediate.dense,768,23.695085397110372,5.26066403388977,0.3230351928324352
vit.encoder.layer.4.output.dense,3072,114.14221552988329,16.53318819999695,1.6025183042830422
vit.encoder.layer.5.intermediate.dense,768,15.921640966038154,5.2836710691452025,0.28306827823193315
vit.encoder.layer.5.output.dense,3072,128.19214370609595,19.40356707572937,1.7676260596287627
vit.encoder.layer.6.intermediate.dense,768,11.389729680812746,5.305770850181579,0.18750338433193584
vit.encoder.layer.6.output.dense,3072,151.17293589953061,16.097601318359374,1.330155806885931
vit.encoder.layer.7.intermediate.dense,768,11.75621200364979,5.320508623123169,0.2675256277345972
vit.encoder.layer.7.output.dense,3072,32.01736427945211,7.8713380813598635,0.5333955313945112
vit.encoder.layer.8.intermediate.dense,768,9.235886475325229,5.346831154823303,0.20070009086219792
vit.encoder.layer.8.output.dense,3072,42.68053354872996,6.989761543273926,0.40380319754050076
vit.encoder.layer.9.intermediate.dense,768,6.837834128895164,5.318127512931824,0.2085822052146543
vit.encoder.layer.9.output.dense,3072,86.21958945379569,8.200080752372742,0.5958486123208555
vit.encoder.layer.10.intermediate.dense,768,6.8750055912634345,5.2312232732772825,0.22717865378569554
vit.encoder.layer.10.output.dense,3072,68.45508429389078,8.392004013061523,0.5645600004339258
vit.encoder.layer.11.intermediate.dense,768,10.610739881167532,5.145936679840088,0.24724453064684654
vit.encoder.layer.11.output.dense,3072,39.39454812987834,6.5607657670974735,0.3501381255835893
